,Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Stress_Level_Num,Study_Hours_Category
69,70,5.4,1.3,9.2,0.1,8.0,2.69,Low,1,1-6 hours
70,71,9.1,1.1,5.6,4.2,4.0,3.54,High,3,+9 hours
71,72,8.7,3.2,6.4,1.0,4.7,3.37,High,3,7-8 hours
72,73,8.8,3.2,10.0,0.8,1.2,3.58,High,3,7-8 hours
73,74,6.7,3.7,9.3,1.8,2.5,2.89,Moderate,2,1-6 hours
74,75,8.8,3.0,5.5,5.4,1.3,3.58,High,3,7-8 hours
75,76,6.6,3.6,6.9,0.1,6.8,2.99,Moderate,2,1-6 hours
76,77,9.5,0.4,6.6,5.7,1.8,3.44,High,3,+9 hours
77,78,8.2,1.8,6.5,2.0,5.5,3.35,High,3,7-8 hours
78,79,8.4,3.0,9.0,2.8,0.8,3.26,High,3,7-8 hours
79,80,5.3,2.2,7.2,5.3,4.0,2.62,Low,1,1-6 hours
80,81,6.8,0.5,5.7,4.6,6.4,2.86,High,3,1-6 hours
81,82,5.4,2.8,5.4,4.9,5.5,2.86,High,3,1-6 hours
82,83,8.5,0.3,5.4,5.9,3.9,2.99,High,3,7-8 hours
83,84,9.1,3.8,9.9,0.9,0.3,3.08,High,3,+9 hours
84,85,6.9,0.3,8.9,3.4,4.5,3.21,Moderate,2,1-6 hours
85,86,5.6,2.0,5.1,2.8,8.5,2.81,High,3,1-6 hours
86,87,5.3,0.5,5.6,3.9,8.7,2.9,High,3,1-6 hours
87,88,9.8,1.5,6.4,5.2,1.1,3.78,High,3,+9 hours
88,89,6.1,3.9,5.1,5.8,3.1,2.96,High,3,1-6 hours
89,90,5.4,2.2,9.8,3.1,3.5,2.81,Low,1,1-6 hours
90,91,8.1,2.8,7.3,3.6,2.2,3.39,High,3,7-8 hours
91,92,5.2,1.1,9.8,5.3,2.6,2.82,Low,1,1-6 hours
92,93,7.3,2.5,6.4,1.1,6.7,2.67,Moderate,2,7-8 hours
93,94,7.9,0.3,9.9,5.8,0.1,3.08,Moderate,2,7-8 hours
94,95,8.5,2.1,6.5,4.9,2.0,3.1,High,3,7-8 hours
95,96,9.6,3.3,9.7,1.0,0.4,3.54,High,3,+9 hours
96,97,8.1,1.7,9.7,3.9,0.6,3.45,High,3,7-8 hours
97,98,9.9,0.6,8.0,2.1,3.4,3.39,High,3,+9 hours
98,99,9.8,3.4,9.2,0.7,0.9,3.15,High,3,+9 hours
99,100,5.3,3.5,9.1,6.0,0.1,2.68,Low,1,1-6 hours
100,101,10.0,2.2,8.8,2.8,0.2,3.41,High,3,+9 hours
101,102,7.3,0.5,9.8,3.6,2.8,3.22,Moderate,2,7-8 hours
102,103,6.1,2.7,8.1,2.1,5.0,2.98,Moderate,2,1-6 hours
103,104,7.6,3.1,7.6,4.9,0.8,2.99,Moderate,2,7-8 hours
104,105,7.8,2.2,9.4,1.9,2.7,3.3,Moderate,2,7-8 hours
105,106,8.5,0.9,5.7,0.1,8.8,3.55,High,3,7-8 hours
106,107,6.8,2.4,7.0,2.6,5.2,2.97,Moderate,2,1-6 hours
107,108,7.6,3.1,7.0,3.7,2.6,3.28,Moderate,2,7-8 hours
108,109,9.3,3.8,5.7,4.8,0.4,3.05,High,3,+9 hours
109,110,7.3,3.9,7.5,1.7,3.6,3.08,Moderate,2,7-8 hours
110,111,8.2,1.0,5.4,0.8,8.6,3.3,High,3,7-8 hours
111,112,5.9,1.4,9.5,2.8,4.4,2.7,Low,1,1-6 hours
112,113,8.3,0.7,6.0,0.2,8.8,3.14,High,3,7-8 hours
113,114,5.9,0.4,5.6,2.8,9.3,2.73,High,3,1-6 hours
114,115,6.0,1.5,7.5,4.1,4.9,2.76,Moderate,2,1-6 hours
115,116,9.4,3.7,5.3,1.6,4.0,3.45,High,3,+9 hours
116,117,9.0,3.0,5.9,1.3,4.8,3.29,High,3,+9 hours
117,118,8.1,1.5,7.3,4.5,2.6,2.75,High,3,7-8 hours
118,119,5.2,1.0,8.6,5.4,3.8,3.4,Low,1,1-6 hours
119,120,5.5,1.8,7.7,1.5,7.5,3.05,Low,1,1-6 hours
120,121,6.3,1.5,5.1,1.9,9.2,2.82,High,3,1-6 hours
121,122,5.6,3.6,8.0,4.1,2.7,2.62,Low,1,1-6 hours
122,123,8.9,2.0,5.4,3.2,4.5,3.64,High,3,7-8 hours
123,124,7.2,0.5,6.4,2.2,7.7,3.19,Moderate,2,7-8 hours
124,125,8.2,2.3,6.8,5.9,0.8,2.95,High,3,7-8 hours
125,126,5.5,0.6,6.2,1.0,10.7,2.94,Low,1,1-6 hours
126,127,5.9,1.1,5.9,5.4,5.7,2.89,High,3,1-6 hours
127,128,7.1,3.9,5.6,2.4,5.0,2.9,High,3,7-8 hours
128,129,9.8,3.5,9.1,0.4,1.2,3.57,High,3,+9 hours
129,130,9.6,2.2,7.9,1.2,3.1,3.24,High,3,+9 hours
130,131,8.8,0.7,6.6,2.6,5.3,2.99,High,3,7-8 hours
131,132,5.6,2.4,6.4,3.5,6.1,2.85,Low,1,1-6 hours
132,133,5.8,1.9,7.7,0.3,8.3,2.7,Low,1,1-6 hours
133,134,5.3,4.0,6.6,4.9,3.2,2.72,Low,1,1-6 hours
134,135,6.3,2.7,8.8,3.6,2.6,2.45,Moderate,2,1-6 hours
135,136,6.7,3.7,9.2,4.2,0.2,2.85,Moderate,2,1-6 hours
136,137,5.6,2.9,9.7,1.1,4.7,2.86,Low,1,1-6 hours
137,138,7.9,3.4,5.7,4.8,2.2,3.15,High,3,7-8 hours
138,139,6.0,0.7,5.8,4.9,6.6,2.96,High,3,1-6 hours
139,140,6.8,3.5,7.0,4.9,1.8,3.44,Moderate,2,1-6 hours
140,141,7.2,1.5,7.3,1.8,6.2,3.08,Moderate,2,7-8 hours
141,142,6.2,3.6,6.9,3.3,4.0,3.27,Moderate,2,1-6 hours
142,143,9.5,2.5,5.6,5.6,0.8,3.13,High,3,+9 hours
143,144,5.7,3.2,8.1,3.2,3.8,3.08,Low,1,1-6 hours
144,145,9.5,3.2,5.8,1.7,3.8,3.59,High,3,+9 hours
145,146,5.2,2.3,8.8,5.3,2.4,2.61,Low,1,1-6 hours
146,147,6.7,3.3,5.6,5.1,3.3,2.95,High,3,1-6 hours
147,148,9.0,0.6,6.1,4.3,4.0,3.15,High,3,+9 hours
148,149,8.6,2.6,8.5,2.3,2.0,3.14,High,3,7-8 hours
149,150,5.9,3.6,7.9,2.4,4.2,2.64,Low,1,1-6 hours
150,151,7.3,3.8,5.8,3.5,3.6,3.58,High,3,7-8 hours
151,152,5.1,3.5,9.7,3.2,2.5,2.79,Low,1,1-6 hours
152,153,8.5,3.7,8.5,0.5,2.8,3.65,High,3,7-8 hours
153,154,7.1,2.9,9.7,4.0,0.3,3.33,Moderate,2,7-8 hours
154,155,7.3,0.5,9.9,5.0,1.3,3.11,Moderate,2,7-8 hours
155,156,8.0,1.6,5.3,2.0,7.1,3.42,High,3,7-8 hours
156,157,9.0,0.0,6.7,2.4,5.9,3.51,High,3,+9 hours
157,158,6.7,1.4,8.7,2.7,4.5,3.02,Moderate,2,1-6 hours
158,159,6.1,1.8,5.7,1.1,9.3,2.38,High,3,1-6 hours
159,160,9.6,1.4,7.9,3.2,1.9,3.43,High,3,+9 hours
160,161,5.1,2.7,5.9,5.8,4.5,2.71,High,3,1-6 hours
161,162,5.4,4.0,7.5,3.6,3.5,2.59,Low,1,1-6 hours
162,163,5.3,3.0,6.0,5.4,4.3,2.68,Low,1,1-6 hours
163,164,5.2,1.9,7.8,0.4,8.7,2.67,Low,1,1-6 hours
164,165,8.9,1.8,7.6,2.5,3.2,3.58,High,3,7-8 hours
165,166,5.8,0.7,9.3,5.7,2.5,2.46,Low,1,1-6 hours
166,167,6.9,1.1,8.2,2.5,5.3,3.22,Moderate,2,1-6 hours
167,168,5.1,0.9,6.2,4.0,7.8,3.02,Low,1,1-6 hours
168,169,5.1,0.4,9.0,1.1,8.4,2.52,Low,1,1-6 hours
169,170,5.5,1.0,8.6,5.1,3.8,2.97,Low,1,1-6 hours
170,171,9.2,1.6,8.3,1.0,3.9,3.5,High,3,+9 hours
171,172,5.1,0.3,6.0,0.2,12.4,2.7,Low,1,1-6 hours
172,173,5.9,2.3,7.1,5.4,3.3,2.78,Low,1,1-6 hours
173,174,6.3,1.5,8.0,1.6,6.6,3.15,Moderate,2,1-6 hours
174,175,8.1,1.6,7.8,2.6,3.9,3.26,High,3,7-8 hours
175,176,8.8,0.6,9.3,2.6,2.7,3.3,High,3,7-8 hours
176,177,9.5,3.2,7.1,0.1,4.1,3.49,High,3,+9 hours
177,178,8.2,1.0,5.7,5.0,4.1,2.89,High,3,7-8 hours
178,179,9.9,2.1,5.9,1.6,4.5,3.52,High,3,+9 hours
179,180,6.4,2.2,8.3,5.0,2.1,2.76,Moderate,2,1-6 hours
180,181,6.0,0.0,5.7,5.4,6.9,2.95,High,3,1-6 hours
181,182,8.0,2.7,5.9,5.5,1.9,3.4,High,3,7-8 hours
182,183,7.1,1.5,7.6,0.3,7.5,3.17,Moderate,2,7-8 hours
183,184,5.4,2.4,6.2,2.3,7.7,2.66,Low,1,1-6 hours
184,185,6.4,1.4,8.6,1.8,5.8,2.77,Moderate,2,1-6 hours
185,186,8.3,3.7,8.7,0.7,2.6,3.77,High,3,7-8 hours
186,187,5.2,1.0,8.0,0.3,9.5,3.29,Low,1,1-6 hours
187,188,6.7,3.1,5.5,0.5,8.2,2.99,High,3,1-6 hours
188,189,8.6,2.0,8.4,2.2,2.8,3.43,High,3,7-8 hours
189,190,9.0,2.8,6.4,3.4,2.4,3.24,High,3,+9 hours
190,191,6.8,0.4,9.6,0.8,6.4,3.01,Moderate,2,1-6 hours
191,192,5.9,2.2,9.4,4.4,2.1,3.01,Low,1,1-6 hours
192,193,9.0,2.6,8.5,3.3,0.6,3.34,High,3,+9 hours
193,194,6.1,4.0,9.7,0.2,4.0,2.58,Moderate,2,1-6 hours
194,195,8.5,3.7,5.9,3.4,2.5,3.06,High,3,7-8 hours
195,196,9.6,3.9,9.7,0.4,0.4,3.65,High,3,+9 hours
196,197,9.3,3.4,6.6,3.9,0.8,3.41,High,3,+9 hours
197,198,6.2,0.5,5.4,4.2,7.7,2.84,High,3,1-6 hours
198,199,6.7,2.9,5.3,1.9,7.2,3.29,High,3,1-6 hours
199,200,6.6,2.5,9.4,3.4,2.1,3.03,Moderate,2,1-6 hours
200,201,6.2,0.1,9.4,0.1,8.2,2.95,Moderate,2,1-6 hours
201,202,9.7,3.2,10.0,0.4,0.7,3.67,High,3,+9 hours
202,203,8.8,1.6,7.4,3.8,2.4,3.23,High,3,7-8 hours
203,204,7.1,3.0,6.2,0.7,7.0,3.36,Moderate,2,7-8 hours
204,205,6.8,1.1,6.5,1.4,8.2,3.01,Moderate,2,1-6 hours
205,206,6.9,2.7,6.1,5.7,2.6,3.08,Moderate,2,1-6 hours
206,207,8.9,0.4,7.1,5.3,2.3,3.33,High,3,7-8 hours
207,208,8.1,0.7,10.0,1.2,4.0,3.35,High,3,7-8 hours
208,209,9.7,2.6,8.0,1.9,1.8,3.33,High,3,+9 hours
209,210,6.1,0.7,8.9,2.1,6.2,2.81,Moderate,2,1-6 hours
210,211,5.3,3.9,9.4,5.0,0.4,3.08,Low,1,1-6 hours
211,212,8.5,0.6,9.1,1.3,4.5,3.16,High,3,7-8 hours
212,213,6.1,2.1,8.0,3.5,4.3,2.79,Moderate,2,1-6 hours
213,214,9.4,3.8,9.3,1.2,0.3,3.33,High,3,+9 hours
214,215,8.3,2.2,5.4,2.5,5.6,2.97,High,3,7-8 hours
215,216,8.6,2.0,5.4,1.3,6.7,3.14,High,3,7-8 hours
216,217,8.4,0.3,9.3,3.0,3.0,3.77,High,3,7-8 hours
217,218,9.1,1.4,8.4,2.9,2.2,3.26,High,3,+9 hours
218,219,6.3,3.5,9.0,3.4,1.8,3.11,Moderate,2,1-6 hours
219,220,8.5,2.7,8.1,3.5,1.2,3.38,High,3,7-8 hours
220,221,5.8,3.5,9.4,0.2,5.1,2.84,Low,1,1-6 hours
221,222,6.7,3.0,5.8,4.9,3.6,3.03,High,3,1-6 hours
222,223,9.2,2.0,5.0,1.7,6.1,3.42,High,3,+9 hours
223,224,8.2,1.0,8.2,3.2,3.4,3.24,High,3,7-8 hours
224,225,8.9,0.4,8.8,3.2,2.7,3.32,High,3,7-8 hours
225,226,8.2,3.7,5.5,5.6,1.0,3.29,High,3,7-8 hours
226,227,8.4,0.3,6.5,4.2,4.6,3.29,High,3,7-8 hours
227,228,6.7,2.5,5.2,5.2,4.4,2.86,High,3,1-6 hours
228,229,9.9,3.9,8.7,0.2,1.3,3.8,High,3,+9 hours
229,230,8.4,1.8,6.4,6.0,1.4,3.25,High,3,7-8 hours
230,231,7.1,1.8,5.8,4.8,4.5,2.86,High,3,7-8 hours
231,232,5.4,2.7,8.3,1.6,6.0,2.95,Low,1,1-6 hours
232,233,9.8,0.6,7.2,5.7,0.7,3.84,High,3,+9 hours
233,234,7.0,1.1,9.9,2.5,3.5,2.84,Moderate,2,7-8 hours
234,235,9.5,0.9,6.1,0.2,7.3,3.17,High,3,+9 hours
235,236,9.3,1.9,9.8,0.6,2.4,3.68,High,3,+9 hours
236,237,9.3,3.1,8.9,2.3,0.4,3.52,High,3,+9 hours
237,238,5.7,0.1,9.6,3.7,4.9,3.12,Low,1,1-6 hours
238,239,9.0,1.9,5.6,0.8,6.7,3.21,High,3,+9 hours
239,240,6.0,2.0,5.3,3.5,7.2,3.26,High,3,1-6 hours
240,241,6.3,3.2,6.6,2.7,5.2,2.85,Moderate,2,1-6 hours
241,242,8.0,1.2,8.5,5.2,1.1,2.72,Moderate,2,7-8 hours
242,243,8.9,0.2,7.4,0.6,6.9,3.33,High,3,7-8 hours
243,244,8.1,2.8,7.8,0.1,5.2,2.98,High,3,7-8 hours
244,245,6.6,2.1,5.4,2.1,7.8,2.79,High,3,1-6 hours
245,246,7.8,2.8,9.0,0.9,3.5,3.11,Moderate,2,7-8 hours
246,247,5.8,0.4,8.2,4.2,5.4,2.88,Low,1,1-6 hours
247,248,8.5,3.5,8.6,2.7,0.7,3.15,High,3,7-8 hours
248,249,6.7,3.3,5.4,5.4,3.2,3.27,High,3,1-6 hours
249,250,7.3,2.6,7.6,4.4,2.1,3.13,Moderate,2,7-8 hours
250,251,5.4,0.2,6.2,1.0,11.2,2.75,Low,1,1-6 hours
251,252,9.9,1.3,5.9,4.7,2.2,3.57,High,3,+9 hours
252,253,8.3,2.0,7.8,4.2,1.7,3.25,High,3,7-8 hours
253,254,6.0,2.7,5.4,0.2,9.7,2.92,High,3,1-6 hours
254,255,6.3,1.9,9.3,4.4,2.1,2.85,Moderate,2,1-6 hours
255,256,6.7,1.5,9.9,0.2,5.7,3.32,Moderate,2,1-6 hours
256,257,9.3,2.3,7.2,3.8,1.4,3.61,High,3,+9 hours
257,258,9.5,1.7,6.4,3.6,2.8,3.42,High,3,+9 hours
258,259,9.6,0.8,8.1,3.5,2.0,3.31,High,3,+9 hours
259,260,8.6,3.6,5.9,1.4,4.5,3.37,High,3,7-8 hours
260,261,9.9,0.7,9.3,2.0,2.1,3.59,High,3,+9 hours
261,262,7.2,2.1,6.8,3.6,4.3,3.01,Moderate,2,7-8 hours
262,263,5.8,1.6,9.8,1.5,5.3,2.61,Low,1,1-6 hours
263,264,8.9,0.5,9.8,2.2,2.6,3.57,High,3,7-8 hours
264,265,6.2,0.3,5.8,3.1,8.6,3.13,High,3,1-6 hours
265,266,7.2,1.0,8.1,4.2,3.5,2.98,Moderate,2,7-8 hours
266,267,5.8,0.7,5.2,4.4,7.9,2.81,High,3,1-6 hours
267,268,9.2,3.2,7.9,3.2,0.5,3.8,High,3,+9 hours
268,269,6.0,0.4,6.3,0.3,11.0,3.05,Moderate,2,1-6 hours
269,270,5.2,0.5,7.3,5.6,5.4,2.79,Low,1,1-6 hours
270,271,6.6,2.0,5.2,0.9,9.3,3.17,High,3,1-6 hours
271,272,7.3,2.1,7.4,4.0,3.2,3.16,Moderate,2,7-8 hours
272,273,5.7,0.1,6.5,4.2,7.5,2.98,Low,1,1-6 hours
273,274,9.8,0.4,8.4,2.4,3.0,3.26,High,3,+9 hours
274,275,9.3,0.7,8.5,4.6,0.9,3.43,High,3,+9 hours
275,276,7.5,2.5,9.3,2.7,2.0,3.2,Moderate,2,7-8 hours
276,277,5.2,3.7,8.4,4.1,2.6,2.91,Low,1,1-6 hours
277,278,7.0,2.6,5.5,3.9,5.0,2.82,High,3,7-8 hours
278,279,10.0,0.2,9.9,1.6,2.3,3.56,High,3,+9 hours
279,280,7.8,3.0,9.4,1.5,2.3,3.25,Moderate,2,7-8 hours
280,281,6.6,2.7,9.0,4.3,1.4,2.93,Moderate,2,1-6 hours
281,282,9.1,0.5,7.7,0.0,6.7,3.64,High,3,+9 hours
282,283,6.6,1.5,7.0,4.2,4.7,2.79,Moderate,2,1-6 hours
283,284,6.2,1.5,6.1,0.4,9.8,2.5,Moderate,2,1-6 hours
284,285,8.0,2.7,8.1,2.4,2.8,3.4,Moderate,2,7-8 hours
285,286,7.6,1.9,5.1,2.0,7.4,3.08,High,3,7-8 hours
286,287,6.9,1.6,7.9,3.2,4.4,3.31,Moderate,2,1-6 hours
287,288,9.1,2.9,9.8,0.0,2.2,3.48,High,3,+9 hours
288,289,6.0,0.0,8.2,5.4,4.4,2.92,Moderate,2,1-6 hours
289,290,5.3,3.7,6.8,0.6,7.6,2.78,Low,1,1-6 hours
290,291,7.4,1.0,6.4,1.8,7.4,3.15,Moderate,2,7-8 hours
291,292,6.6,2.4,8.6,1.6,4.8,3.27,Moderate,2,1-6 hours
292,293,7.1,0.5,5.9,4.1,6.4,3.09,High,3,7-8 hours
293,294,8.5,0.4,7.8,1.5,5.8,3.01,High,3,7-8 hours
294,295,9.8,1.9,9.0,1.8,1.5,3.5,High,3,+9 hours
295,296,9.8,2.4,9.1,2.4,0.3,3.38,High,3,+9 hours
296,297,6.1,0.8,8.1,2.5,6.5,2.67,Moderate,2,1-6 hours
297,298,8.9,1.1,9.1,2.1,2.8,3.2,High,3,7-8 hours
298,299,8.3,0.4,8.1,2.7,4.5,3.01,High,3,7-8 hours
299,300,8.7,3.5,6.1,0.5,5.2,3.37,High,3,7-8 hours
300,301,5.1,2.6,8.0,3.3,5.0,2.65,Low,1,1-6 hours
301,302,8.0,2.0,9.9,0.6,3.5,2.93,Moderate,2,7-8 hours
302,303,8.5,1.6,7.1,4.3,2.5,3.39,High,3,7-8 hours
303,304,6.4,0.3,5.4,5.4,6.5,3.29,High,3,1-6 hours
304,305,6.0,1.3,6.1,2.1,8.5,2.91,Moderate,2,1-6 hours
305,306,5.3,3.2,6.2,3.2,6.1,2.64,Low,1,1-6 hours
306,307,9.4,2.6,7.7,1.4,2.9,3.66,High,3,+9 hours
307,308,10.0,2.6,7.8,2.6,1.0,3.26,High,3,+9 hours
308,309,7.3,0.2,7.8,5.7,3.0,3.2,Moderate,2,7-8 hours
309,310,6.0,2.1,5.5,2.7,7.7,2.72,High,3,1-6 hours
310,311,8.8,1.4,8.3,4.4,1.1,3.1,High,3,7-8 hours
311,312,10.0,3.7,7.7,2.2,0.4,3.44,High,3,+9 hours
312,313,7.6,2.5,5.4,4.5,4.0,3.17,High,3,7-8 hours
313,314,8.9,2.8,5.2,1.8,5.3,3.3,High,3,7-8 hours
314,315,6.3,1.4,5.4,5.6,5.3,2.58,High,3,1-6 hours
315,316,7.0,1.8,8.0,3.1,4.1,3.15,Moderate,2,7-8 hours
316,317,9.6,2.0,10.0,2.0,0.4,3.46,High,3,+9 hours
317,318,6.9,3.5,9.3,3.5,0.8,3.02,Moderate,2,1-6 hours
318,319,9.0,1.2,5.4,2.4,6.0,3.46,High,3,+9 hours
319,320,6.7,3.9,8.2,4.3,0.9,2.83,Moderate,2,1-6 hours
320,321,5.7,3.4,9.6,2.6,2.7,3.13,Low,1,1-6 hours
321,322,5.9,2.0,7.0,0.9,8.2,3.0,Low,1,1-6 hours
322,323,6.8,0.3,5.1,0.8,11.0,3.03,High,3,1-6 hours
323,324,9.8,1.7,6.6,3.0,2.9,3.58,High,3,+9 hours
324,325,7.2,0.4,8.2,1.3,6.9,3.39,Moderate,2,7-8 hours
325,326,5.8,0.2,8.9,2.8,6.3,3.11,Low,1,1-6 hours
326,327,5.3,4.0,5.3,4.2,5.2,2.67,High,3,1-6 hours
327,328,8.5,0.2,7.5,6.0,1.8,3.21,High,3,7-8 hours
328,329,9.1,2.5,6.5,3.7,2.2,2.85,High,3,+9 hours
329,330,5.7,3.5,7.2,1.2,6.4,3.04,Low,1,1-6 hours
330,331,6.8,1.7,9.1,4.4,2.0,2.9,Moderate,2,1-6 hours
331,332,5.1,1.0,8.8,0.8,8.3,2.25,Low,1,1-6 hours
332,333,7.7,0.9,5.1,1.4,8.9,3.15,High,3,7-8 hours
333,334,5.5,2.2,7.3,5.1,3.9,2.94,Low,1,1-6 hours
334,335,5.5,2.0,5.8,1.9,8.8,2.79,High,3,1-6 hours
335,336,6.9,1.6,7.3,4.7,3.5,3.38,Moderate,2,1-6 hours
336,337,9.5,3.8,8.9,0.6,1.2,3.3,High,3,+9 hours
337,338,6.3,3.4,5.2,5.4,3.7,3.31,High,3,1-6 hours
338,339,7.3,2.5,8.3,5.3,0.6,3.36,Moderate,2,7-8 hours
339,340,5.3,2.1,5.8,4.4,6.4,3.11,High,3,1-6 hours
340,341,7.6,2.7,5.2,0.5,8.0,3.07,High,3,7-8 hours
341,342,5.4,0.0,9.8,4.4,4.4,2.85,Low,1,1-6 hours
342,343,6.8,1.2,6.7,4.6,4.7,2.81,Moderate,2,1-6 hours
343,344,5.9,0.4,8.3,4.6,4.8,2.99,Low,1,1-6 hours
344,345,6.3,0.1,5.4,5.8,6.4,3.14,High,3,1-6 hours
345,346,8.1,1.5,6.0,0.7,7.7,3.06,High,3,7-8 hours
